#######################################
# STARK                               #
# Stellar Tools for variants          #
#    Analysis and RanKing             #
# Author: Antony Le Bechec            #
# Copyright: IRC                      #
# Licence: GNU-GPL/CeCILL             #
#######################################

#######################################
# Release : 0.9.16b                   #
# Date : 20180615                     #
#######################################


###################
#### PIPELINES ####
###################

#STEP_TYPE      STEP_NAME               STEP_DESCRIPTION
ALIGNER         bowtie                  BOWTIE - Bowtie alignment algorithm
ALIGNER         bwaaln                  BWA ALN - First BWA algorithm
ALIGNER         bwamem                  BWA MEM - Last powerful algorithm. From FASTQ files. BAM_CHECK_STEP switched off.
ALIGNER         bwamem_FromFASTQ        BWA MEM - Last powerful algorithm from FASTQ files. Please switch off BAM_CHECK_STEP
ALIGNER         bwamem_FromUBAM         BWA MEM - Last powerful algorithm from unaligned BAM files
ALIGNER         bwasw                   BWA SW - Smith Watermann algorithm
ANNOTATOR       howard                  HOWARD annotates and prioritizes variants
ANNOTATOR       snpeff                  snpEff annotation
CALLER          VarScan                 SAMTOOLS/VARSCAN - by default
CALLER          VarScan_EXOME_SOMATIC   SAMTOOLS/VARSCAN - design for SOMATIC mutation on WES, VAF>0.05 ALT>5 DP>50 p-value<1e-1
CALLER          VarScan_HEMATOLOGY      SAMTOOLS/VARSCAN - design for HEMATOLOGY mutation, VAF>0.03 ALT>4 DP>50 p-value<1e-1
CALLER          VarScan_SOLIDTUMOR      SAMTOOLS/VARSCAN - design for SOLIDTUMOR mutation, VAF>0.01 ALT>5 DP>30 p-value<1e-1
CALLER          VarScan_SOMATIC         SAMTOOLS/VARSCAN - design for SOMATIC mutation, VAF>0.01 ALT>4 DP>50 p-value<1e-1
CALLER          canoes                  CANOES - CNV caller
CALLER          gatkHC                  GATK Haplotype Caller - by default
CALLER          gatkHC_EXOME            GATK Haplotype Caller - designed for EXOME analysis
CALLER          gatkHC_EXOME_SOMATIC    GATK Haplotype Caller - designed for EXOME_SOMATIC analysis
CALLER          gatkHC_GENOME           GATK Haplotype Caller - designed for GENOME analysis
CALLER          gatkHC_GERMLINE         GATK Haplotype Caller - designed for GERMLINE discovery
CALLER          gatkHC_HEMATOLOGY       GATK Haplotype Caller - designed for HEMATOLOGY variant discovery
CALLER          gatkHC_ONCOGENET        GATK Haplotype Caller - designed for ONCOGENET variant discovery
CALLER          gatkHC_SOLIDTUMOR       GATK Haplotype Caller - designed for SOLIDTUMOR variant discovery
CALLER          gatkUG                  GATK Unified Genotyper - by default
CALLER          gatkUG_EXOME            GATK Unified Genotyper - designed for EXOME discovery
CALLER          gatkUG_EXOME_SOMATIC    GATK Unified Genotyper - designed for EXOME_SOMATIC discovery
CALLER          gatkUG_GENOME           GATK Unified Genotyper - designed for GENOME discovery
CALLER          gatkUG_GERMLINE         GATK Unified Genotyper - designed for GERMLINE discovery
CALLER          gatkUG_HEMATOLOGY       GATK Unified Genotyper - designed for HEMATOLOGY variant discovery
CALLER          gatkUG_ONCOGENET        GATK Unified Genotyper - designed for ONCOGENET variant discovery
CALLER          gatkUG_SOLIDTUMOR       GATK Unified Genotyper - designed for SOLIDTUMOR variant discovery
CALLER          itdseek                 ITDSeek - FLT3 ITD detection
CALLER          samtools                SAMTOOLS/BCLTOOLS - by default, no filtering
CALLER          samtools_DP100          SAMTOOLS/BCLTOOLS - filtring variant depth<100
CALLER          samtools_DP10           SAMTOOLS/BCLTOOLS - filtring variant depth<10
CALLER          samtools_DP30           SAMTOOLS/BCLTOOLS - filtring variant depth<30
POST_ALIGNMENT  clipping                Prime Clipping for Amplicon sequencing
POST_ALIGNMENT  compress                BAM compression
POST_ALIGNMENT  markduplicates          Mark duplicated reads in BAM with PICARD MarkDuplicates
POST_ALIGNMENT  markduplicatesSAMTOOLS  Mark duplicated reads in BAM. With SAMTOOLS rmdup
POST_ALIGNMENT  realignment             Local Realignment of reads in BAM
POST_ALIGNMENT  recalibration           BaseRecalibrator of reads in BAM. Warning
POST_ALIGNMENT  sorting                 BAM sorting
